gene_name	known_status	single_exon	pval	qval	esti_log2FC
BRE	1	0	0.0052690236965934655	0.04706967091580335	0.39922229964304595
BRI3BP	1	0	2.131809871208849e-5	6.439303273245093e-4	-0.5442485151363871
BRK1	1	0	0.003253334979631853	0.033150136935314156	0.3632119380439538
BROX	1	0	0.0018811756908080988	0.022170669654198505	0.7904107675117416
BTBD6	1	0	0.0018937800179930713	0.022293052592272163	0.46459801234939224
BTG4	1	0	5.45563778653238e-4	0.008630517767327907	2.1226991638828774
BTN3A3	1	0	4.6813851036613997e-4	0.00759834081242857	1.2796034453258762
C10orf90	1	0	1.3255707503165791e-12	2.137342809806225e-10	3.1293130492067123
C10orf91	1	0	0.0025502228984847627	0.02751644839005991	-1.037855059687806
C11orf1	1	0	7.887271870324744e-4	0.011480418101904345	0.6393157502398368
C11orf31	1	0	0.001055608672122498	0.014401210338420605	0.4850213897397218
C11orf31	1	1	0.001055608672122498	0.014401210338420605	0.4850213897397218
C11orf48	1	0	2.0770648003855374e-5	6.332420195689383e-4	0.5519456224623397
C11orf68	1	0	5.495729399450306e-5	0.0013919272160377678	0.8645247326872227
C11orf68	1	1	5.495729399450306e-5	0.0013919272160377678	0.8645247326872227
C12orf66	1	0	0.004280601571217203	0.04049944362586326	-0.5297293919774873
C12orf66	1	1	0.004280601571217203	0.04049944362586326	-0.5297293919774873
C15orf52	1	0	2.2432862309210484e-6	9.254465142913211e-5	2.035380637170003
C17ORF96	1	1	0.005702224740125453	0.0498977211471734	-0.4384791784875276
C19orf70	1	0	0.00393407961839185	0.03802845476963726	0.43978505144411206
C1orf106	1	0	3.4106448366537168e-6	1.3417547109969674e-4	-1.0038631846016652
C1orf115	1	0	1.5081148726241997e-5	4.897843705475699e-4	-1.6931820312074175
C1orf122	1	0	1.8511420334872003e-4	0.003663245289431542	0.6199593399369464
C1orf61	1	0	6.582432091755213e-5	0.0016205523136863158	-3.275604902136218
C1orf61	1	1	6.582432091755213e-5	0.0016205523136863158	-3.275604902136218
C1QTNF6	1	0	1.6961989684173375e-4	0.0034161368409460287	-1.1290762510216237
C20orf194	1	0	4.2369948489100873e-4	0.00706042460412266	0.6485033329129187
C2CD4C	1	0	0.005446098791742745	0.04823747695773381	-2.4928224030113277
C2orf82	1	0	0.005667178004964096	0.049638755777221856	-1.469593215045707
C3orf18	1	0	0.004402551254177924	0.041277974412636254	0.9898322997060337
C4BPA	1	0	8.309626863362962e-6	2.9225378903772407e-4	-4.244750488082694
C5	1	0	3.5439613617065703e-26	3.245701573505345e-23	-3.775781694738683
C7orf49	1	0	5.605326817342489e-4	0.008808480632112122	-0.6745530161594137
C8orf48	1	1	3.086635062626798e-7	1.6135067669840906e-5	1.5209548157169765
C9orf114	1	0	1.493880046877785e-4	0.0031066192146515684	-0.7785210613472853
C9orf3	1	0	0.003553154797355805	0.03537088358272109	-1.3536032226158612
C9orf78	1	0	8.294996292102151e-4	0.011952311837883629	-0.6929320218600029
CA11	1	0	9.54063749443727e-5	0.002206413661065234	-2.667583424022111
CA12	1	0	3.4941935650359616e-5	9.709108721488274e-4	-1.245019971629399
CA9	1	0	3.679180006732029e-5	0.0010064337566802453	-3.4581261921449857
CACNA1A	1	0	3.642900281704966e-5	9.988963455079868e-4	3.613282168992337
CACNA1D	1	0	7.199535287383043e-7	3.463036973527776e-5	-4.711310226261992
CACNA1I	1	0	0.0021820537878449245	0.02452641312051909	-2.7001135446396756
CADM1	1	0	2.8188106194680803e-4	0.0051181195831356985	-0.6120894155131786
CADM4	1	0	5.7196451023551564e-6	2.1054179142045607e-4	-1.7246686610720452
CALB2	1	0	1.3439587296269946e-10	1.5943667913751122e-8	2.7238117387292693
